WEEK,VISITING,HOME,DATE,TIME,TV,,
WEEK 1,BAL ,@DEN ,"THURSDAY, SEPTEMBER 5TH",8:30PM ET,NBC,,
WEEK 1,NE ,@BUF ,"SUNDAY, SEPTEMBER 8TH",1:00PM ET,CBS,,
WEEK 1,CIN ,@CHI ,"SUNDAY, SEPTEMBER 8TH",1:00PM ET,CBS,,
WEEK 1,MIA ,@CLE ,"SUNDAY, SEPTEMBER 8TH",1:00PM ET,CBS,,
WEEK 1,OAK ,@IND ,"SUNDAY, SEPTEMBER 8TH",1:00PM ET,CBS,,
WEEK 1,KAN ,@JAC ,"SUNDAY, SEPTEMBER 8TH",1:00PM ET,CBS,,
WEEK 1,TB ,@NYJ ,"SUNDAY, SEPTEMBER 8TH",1:00PM ET,FOX,,
WEEK 1,TEN ,@PIT ,"SUNDAY, SEPTEMBER 8TH",1:00PM ET,CBS,,
WEEK 1,ATL ,@NO ,"SUNDAY, SEPTEMBER 8TH",1:00PM ET,FOX,,
WEEK 1,SEA ,@CAR ,"SUNDAY, SEPTEMBER 8TH",1:00PM ET,FOX,,
WEEK 1,MIN ,@DET ,"SUNDAY, SEPTEMBER 8TH",1:00PM ET,FOX,,
WEEK 1,GB ,@SF ,"SUNDAY, SEPTEMBER 8TH",4:25PM ET,FOX,,
WEEK 1,ARI ,@STL ,"SUNDAY, SEPTEMBER 8TH",4:25PM ET,FOX,,
WEEK 1,NYG ,@DAL ,"SUNDAY, SEPTEMBER 8TH",8:30PM ET,NBC,,
WEEK 1,PHI ,@WAS ,"MONDAY, SEPTEMBER 9TH",7:10PM ET,ESPN,,
WEEK 1,HOU ,@SD ,"MONDAY, SEPTEMBER 9TH",10:20PM ET,ESPN,,
WEEK 2,NYJ ,@NE ,"THURSDAY, SEPTEMBER 12TH",8:25PM ET,NFL Network,,
WEEK 2,DAL ,@KAN ,"SUNDAY, SEPTEMBER 15TH",1:00PM ET,FOX,,
WEEK 2,STL ,@ATL ,"SUNDAY, SEPTEMBER 15TH",1:00PM ET,FOX,,
WEEK 2,SD ,@PHI ,"SUNDAY, SEPTEMBER 15TH",1:00PM ET,CBS,,
WEEK 2,TEN ,@HOU ,"SUNDAY, SEPTEMBER 15TH",1:00PM ET,CBS,,
WEEK 2,MIA ,@IND ,"SUNDAY, SEPTEMBER 15TH",1:00PM ET,CBS,,
WEEK 2,CAR ,@BUF ,"SUNDAY, SEPTEMBER 15TH",1:00PM ET,FOX,,
WEEK 2,CLE ,@BAL ,"SUNDAY, SEPTEMBER 15TH",1:00PM ET,CBS,,
WEEK 2,WAS ,@GB ,"SUNDAY, SEPTEMBER 15TH",1:00PM ET,FOX,,
WEEK 2,MIN ,@CHI ,"SUNDAY, SEPTEMBER 15TH",1:00PM ET,FOX,,
WEEK 2,NO ,@TB ,"SUNDAY, SEPTEMBER 15TH",4:05PM ET,FOX,,
WEEK 2,DET ,@ARI ,"SUNDAY, SEPTEMBER 15TH",4:05PM ET,FOX,,
WEEK 2,JAC ,@OAK ,"SUNDAY, SEPTEMBER 15TH",4:25PM ET,CBS,,
WEEK 2,DEN ,@NYG ,"SUNDAY, SEPTEMBER 15TH",4:25PM ET,CBS,,
WEEK 2,SF ,@SEA ,"SUNDAY, SEPTEMBER 15TH",8:30PM ET,NBC,,
WEEK 2,PIT ,@CIN ,"MONDAY, SEPTEMBER 16TH",8:40PM ET,ESPN,,
WEEK 3,KAN ,@PHI ,"THURSDAY, SEPTEMBER 19TH",8:25PM ET,NFL Network,,
WEEK 3,TB ,@NE ,"SUNDAY, SEPTEMBER 22ND",1:00PM ET,FOX,,
WEEK 3,ARI ,@NO ,"SUNDAY, SEPTEMBER 22ND",1:00PM ET,FOX,,
WEEK 3,SD ,@TEN ,"SUNDAY, SEPTEMBER 22ND",1:00PM ET,CBS,,
WEEK 3,GB ,@CIN ,"SUNDAY, SEPTEMBER 22ND",1:00PM ET,FOX,,
WEEK 3,HOU ,@BAL ,"SUNDAY, SEPTEMBER 22ND",1:00PM ET,CBS,,
WEEK 3,CLE ,@MIN ,"SUNDAY, SEPTEMBER 22ND",1:00PM ET,CBS,,
WEEK 3,NYG ,@CAR ,"SUNDAY, SEPTEMBER 22ND",1:00PM ET,FOX,,
WEEK 3,STL ,@DAL ,"SUNDAY, SEPTEMBER 22ND",1:00PM ET,FOX,,
WEEK 3,DET ,@WAS ,"SUNDAY, SEPTEMBER 22ND",1:00PM ET,FOX,,
WEEK 3,ATL ,@MIA ,"SUNDAY, SEPTEMBER 22ND",4:05PM ET,FOX,,
WEEK 3,JAC ,@SEA ,"SUNDAY, SEPTEMBER 22ND",4:25PM ET,CBS,,
WEEK 3,IND ,@SF ,"SUNDAY, SEPTEMBER 22ND",4:25PM ET,CBS,,
WEEK 3,BUF ,@NYJ ,"SUNDAY, SEPTEMBER 22ND",4:25PM ET,CBS,,
WEEK 3,CHI ,@PIT ,"SUNDAY, SEPTEMBER 22ND",8:30PM ET,NBC,,
WEEK 3,OAK ,@DEN ,"MONDAY, SEPTEMBER 23RD",8:40PM ET,ESPN,,
WEEK 4,SF ,@STL ,"THURSDAY, SEPTEMBER 26TH",8:25PM ET,NFL Network,,
WEEK 4,CHI ,@DET ,"SUNDAY, SEPTEMBER 29TH",1:00PM ET,FOX,,
WEEK 4,IND ,@JAC ,"SUNDAY, SEPTEMBER 29TH",1:00PM ET,CBS,,
WEEK 4,SEA ,@HOU ,"SUNDAY, SEPTEMBER 29TH",1:00PM ET,FOX,,
WEEK 4,CIN ,@CLE ,"SUNDAY, SEPTEMBER 29TH",1:00PM ET,CBS,,
WEEK 4,BAL ,@BUF ,"SUNDAY, SEPTEMBER 29TH",1:00PM ET,CBS,,
WEEK 4,PIT ,@MIN ,"SUNDAY, SEPTEMBER 29TH",1:00PM ET,CBS,,
WEEK 4,ARI ,@TB ,"SUNDAY, SEPTEMBER 29TH",1:00PM ET,FOX,,
WEEK 4,NYG ,@KAN ,"SUNDAY, SEPTEMBER 29TH",1:00PM ET,FOX,,
WEEK 4,NYJ ,@TEN ,"SUNDAY, SEPTEMBER 29TH",4:05PM ET,CBS,,
WEEK 4,DAL ,@SD ,"SUNDAY, SEPTEMBER 29TH",4:25PM ET,FOX,,
WEEK 4,WAS ,@OAK ,"SUNDAY, SEPTEMBER 29TH",4:25PM ET,FOX,,
WEEK 4,PHI ,@DEN ,"SUNDAY, SEPTEMBER 29TH",4:25PM ET,FOX,,
WEEK 4,NE ,@ATL ,"SUNDAY, SEPTEMBER 29TH",8:30PM ET,NBC,,
WEEK 4,MIA ,@NO ,"MONDAY, SEPTEMBER 30TH",8:40PM ET,ESPN,,
WEEK 5,BUF ,@CLE ,"THURSDAY, OCTOBER 3RD",8:25PM ET,NFL Network,,
WEEK 5,NE ,@CIN ,"SUNDAY, OCTOBER 6TH",1:00PM ET,CBS,,
WEEK 5,BAL ,@MIA ,"SUNDAY, OCTOBER 6TH",1:00PM ET,CBS,,
WEEK 5,SEA ,@IND ,"SUNDAY, OCTOBER 6TH",1:00PM ET,FOX,,
WEEK 5,KAN ,@TEN ,"SUNDAY, OCTOBER 6TH",1:00PM ET,CBS,,
WEEK 5,JAC ,@STL ,"SUNDAY, OCTOBER 6TH",1:00PM ET,CBS,,
WEEK 5,NO ,@CHI ,"SUNDAY, OCTOBER 6TH",1:00PM ET,FOX,,
WEEK 5,DET ,@GB ,"SUNDAY, OCTOBER 6TH",1:00PM ET,FOX,,
WEEK 5,PHI ,@NYG ,"SUNDAY, OCTOBER 6TH",1:00PM ET,FOX,,
WEEK 5,CAR ,@ARI ,"SUNDAY, OCTOBER 6TH",4:05PM ET,FOX,,
WEEK 5,SD ,@OAK ,"SUNDAY, OCTOBER 6TH",4:25PM ET,CBS,,
WEEK 5,DEN ,@DAL ,"SUNDAY, OCTOBER 6TH",4:25PM ET,CBS,,
WEEK 5,HOU ,@SF ,"SUNDAY, OCTOBER 6TH",8:30PM ET,NBC,,
WEEK 5,NYJ ,@ATL ,"MONDAY, OCTOBER 7TH",8:40PM ET,ESPN,,
WEEK 6,NYG ,@CHI ,"THURSDAY, OCTOBER 10TH",8:25PM ET,NFL Network,,
WEEK 6,CAR ,@MIN ,"SUNDAY, OCTOBER 13TH",1:00PM ET,FOX,,
WEEK 6,PHI ,@TB ,"SUNDAY, OCTOBER 13TH",1:00PM ET,FOX,,
WEEK 6,PIT ,@NYJ ,"SUNDAY, OCTOBER 13TH",1:00PM ET,CBS,,
WEEK 6,OAK ,@KAN ,"SUNDAY, OCTOBER 13TH",1:00PM ET,CBS,,
WEEK 6,STL ,@HOU ,"SUNDAY, OCTOBER 13TH",1:00PM ET,FOX,,
WEEK 6,DET ,@CLE ,"SUNDAY, OCTOBER 13TH",1:00PM ET,FOX,,
WEEK 6,GB ,@BAL ,"SUNDAY, OCTOBER 13TH",1:00PM ET,FOX,,
WEEK 6,CIN ,@BUF ,"SUNDAY, OCTOBER 13TH",1:00PM ET,CBS,,
WEEK 6,JAC ,@DEN ,"SUNDAY, OCTOBER 13TH",4:05PM ET,CBS,,
WEEK 6,TEN ,@SEA ,"SUNDAY, OCTOBER 13TH",4:05PM ET,CBS,,
WEEK 6,NO ,@NE ,"SUNDAY, OCTOBER 13TH",4:25PM ET,FOX,,
WEEK 6,ARI ,@SF ,"SUNDAY, OCTOBER 13TH",4:25PM ET,FOX,,
WEEK 6,WAS ,@DAL ,"SUNDAY, OCTOBER 13TH",8:30PM ET,NBC,,
WEEK 6,IND ,@SD ,"MONDAY, OCTOBER 14TH",8:40PM ET,ESPN,,
WEEK 7,SEA ,@ARI ,"THURSDAY, OCTOBER 17TH",8:25PM ET,NFL Network,,
WEEK 7,TB ,@ATL ,"SUNDAY, OCTOBER 20TH",1:00PM ET,FOX,,
WEEK 7,NE ,@NYJ ,"SUNDAY, OCTOBER 20TH",1:00PM ET,CBS,,
WEEK 7,SD ,@JAC ,"SUNDAY, OCTOBER 20TH",1:00PM ET,CBS,,
WEEK 7,HOU ,@KAN ,"SUNDAY, OCTOBER 20TH",1:00PM ET,CBS,,
WEEK 7,BUF ,@MIA ,"SUNDAY, OCTOBER 20TH",1:00PM ET,CBS,,
WEEK 7,CIN ,@DET ,"SUNDAY, OCTOBER 20TH",1:00PM ET,CBS,,
WEEK 7,DAL ,@PHI ,"SUNDAY, OCTOBER 20TH",1:00PM ET,FOX,,
WEEK 7,STL ,@CAR ,"SUNDAY, OCTOBER 20TH",1:00PM ET,FOX,,
WEEK 7,CHI ,@WAS ,"SUNDAY, OCTOBER 20TH",1:00PM ET,FOX,,
WEEK 7,SF ,@TEN ,"SUNDAY, OCTOBER 20TH",4:05PM ET,FOX,,
WEEK 7,BAL ,@PIT ,"SUNDAY, OCTOBER 20TH",4:25PM ET,CBS,,
WEEK 7,CLE ,@GB ,"SUNDAY, OCTOBER 20TH",4:25PM ET,CBS,,
WEEK 7,DEN ,@IND ,"SUNDAY, OCTOBER 20TH",8:30PM ET,NBC,,
WEEK 7,MIN ,@NYG ,"MONDAY, OCTOBER 21ST",8:40PM ET,ESPN,,
WEEK 8,CAR ,@TB ,"THURSDAY, OCTOBER 24TH",8:25PM ET,NFL Network,,
WEEK 8,DAL ,@DET ,"SUNDAY, OCTOBER 27TH",1:00PM ET,FOX,,
WEEK 8,NYG ,@PHI ,"SUNDAY, OCTOBER 27TH",1:00PM ET,FOX,,
WEEK 8,CLE ,@KAN ,"SUNDAY, OCTOBER 27TH",1:00PM ET,CBS,,
WEEK 8,BUF ,@NO ,"SUNDAY, OCTOBER 27TH",1:00PM ET,CBS,,
WEEK 8,SF ,@JAC ,"SUNDAY, OCTOBER 27TH",1:00PM ET,FOX,,
WEEK 8,MIA ,@NE ,"SUNDAY, OCTOBER 27TH",1:00PM ET,CBS,,
WEEK 8,PIT ,@OAK ,"SUNDAY, OCTOBER 27TH",4:05PM ET,CBS,,
WEEK 8,NYJ ,@CIN ,"SUNDAY, OCTOBER 27TH",4:05PM ET,CBS,,
WEEK 8,WAS ,@DEN ,"SUNDAY, OCTOBER 27TH",4:25PM ET,FOX,,
WEEK 8,ATL ,@ARI ,"SUNDAY, OCTOBER 27TH",4:25PM ET,FOX,,
WEEK 8,GB ,@MIN ,"SUNDAY, OCTOBER 27TH",8:30PM ET,NBC,,
WEEK 8,SEA ,@STL ,"MONDAY, OCTOBER 28TH",8:40PM ET,ESPN,,
WEEK 9,CIN ,@MIA ,"THURSDAY, OCTOBER 31ST",8:25PM ET,NFL Network,,
WEEK 9,KAN ,@BUF ,"SUNDAY, NOVEMBER 3RD",1:00PM ET,CBS,,
WEEK 9,ATL ,@CAR ,"SUNDAY, NOVEMBER 3RD",1:00PM ET,FOX,,
WEEK 9,SD ,@WAS ,"SUNDAY, NOVEMBER 3RD",1:00PM ET,FOX,,
WEEK 9,NO ,@NYJ ,"SUNDAY, NOVEMBER 3RD",1:00PM ET,FOX,,
WEEK 9,TEN ,@STL ,"SUNDAY, NOVEMBER 3RD",1:00PM ET,CBS,,
WEEK 9,MIN ,@DAL ,"SUNDAY, NOVEMBER 3RD",1:00PM ET,FOX,,
WEEK 9,TB ,@SEA ,"SUNDAY, NOVEMBER 3RD",4:05PM ET,FOX,,
WEEK 9,PHI ,@OAK ,"SUNDAY, NOVEMBER 3RD",4:05PM ET,FOX,,
WEEK 9,PIT ,@NE ,"SUNDAY, NOVEMBER 3RD",4:25PM ET,CBS,,
WEEK 9,BAL ,@CLE ,"SUNDAY, NOVEMBER 3RD",4:25PM ET,CBS,,
WEEK 9,IND ,@HOU ,"SUNDAY, NOVEMBER 3RD",8:30PM ET,NBC,,
WEEK 9,CHI ,@GB ,"MONDAY, NOVEMBER 4TH",8:40PM ET,ESPN,,
WEEK 10,WAS ,@MIN ,"THURSDAY, NOVEMBER 7TH",8:25PM ET,NFL Network,,
WEEK 10,PHI ,@GB ,"SUNDAY, NOVEMBER 10TH",1:00PM ET,FOX,,
WEEK 10,DET ,@CHI ,"SUNDAY, NOVEMBER 10TH",1:00PM ET,FOX,,
WEEK 10,STL ,@IND ,"SUNDAY, NOVEMBER 10TH",1:00PM ET,FOX,,
WEEK 10,CIN ,@BAL ,"SUNDAY, NOVEMBER 10TH",1:00PM ET,CBS,,
WEEK 10,BUF ,@PIT ,"SUNDAY, NOVEMBER 10TH",1:00PM ET,CBS,,
WEEK 10,JAC ,@TEN ,"SUNDAY, NOVEMBER 10TH",1:00PM ET,CBS,,
WEEK 10,OAK ,@NYG ,"SUNDAY, NOVEMBER 10TH",1:00PM ET,CBS,,
WEEK 10,SEA ,@ATL ,"SUNDAY, NOVEMBER 10TH",1:00PM ET,FOX,,
WEEK 10,CAR ,@SF ,"SUNDAY, NOVEMBER 10TH",4:05PM ET,FOX,,
WEEK 10,HOU ,@ARI ,"SUNDAY, NOVEMBER 10TH",4:25PM ET,CBS,,
WEEK 10,DEN ,@SD ,"SUNDAY, NOVEMBER 10TH",4:25PM ET,CBS,,
WEEK 10,DAL ,@NO ,"SUNDAY, NOVEMBER 10TH",8:30PM ET,NBC,,
WEEK 10,MIA ,@TB ,"MONDAY, NOVEMBER 11TH",8:40PM ET,ESPN,,
WEEK 11,IND ,@TEN ,"THURSDAY, NOVEMBER 14TH",8:25PM ET,NFL Network,,
WEEK 11,OAK ,@HOU ,"SUNDAY, NOVEMBER 17TH",1:00PM ET,CBS,,
WEEK 11,NYJ ,@BUF ,"SUNDAY, NOVEMBER 17TH",1:00PM ET,CBS,,
WEEK 11,CLE ,@CIN ,"SUNDAY, NOVEMBER 17TH",1:00PM ET,CBS,,
WEEK 11,BAL ,@CHI ,"SUNDAY, NOVEMBER 17TH",1:00PM ET,CBS,,
WEEK 11,SD ,@MIA ,"SUNDAY, NOVEMBER 17TH",1:00PM ET,CBS,,
WEEK 11,ARI ,@JAC ,"SUNDAY, NOVEMBER 17TH",1:00PM ET,FOX,,
WEEK 11,ATL ,@TB ,"SUNDAY, NOVEMBER 17TH",1:00PM ET,FOX,,
WEEK 11,DET ,@PIT ,"SUNDAY, NOVEMBER 17TH",1:00PM ET,FOX,,
WEEK 11,WAS ,@PHI ,"SUNDAY, NOVEMBER 17TH",1:00PM ET,FOX,,
WEEK 11,KAN ,@DEN ,"SUNDAY, NOVEMBER 17TH",4:05PM ET,CBS,,
WEEK 11,MIN ,@SEA ,"SUNDAY, NOVEMBER 17TH",4:25PM ET,FOX,,
WEEK 11,SF ,@NO ,"SUNDAY, NOVEMBER 17TH",4:25PM ET,FOX,,
WEEK 11,GB ,@NYG ,"SUNDAY, NOVEMBER 17TH",8:30PM ET,NBC,,
WEEK 11,NE ,@CAR ,"MONDAY, NOVEMBER 18TH",8:40PM ET,ESPN,,
WEEK 12,NO ,@ATL ,"THURSDAY, NOVEMBER 21ST",8:25PM ET,NFL Network,,
WEEK 12,CAR ,@MIA ,"SUNDAY, NOVEMBER 24TH",1:00PM ET,FOX,,
WEEK 12,SD ,@KAN ,"SUNDAY, NOVEMBER 24TH",1:00PM ET,CBS,,
WEEK 12,PIT ,@CLE ,"SUNDAY, NOVEMBER 24TH",1:00PM ET,CBS,,
WEEK 12,JAC ,@HOU ,"SUNDAY, NOVEMBER 24TH",1:00PM ET,CBS,,
WEEK 12,NYJ ,@BAL ,"SUNDAY, NOVEMBER 24TH",1:00PM ET,CBS,,
WEEK 12,MIN ,@GB ,"SUNDAY, NOVEMBER 24TH",1:00PM ET,FOX,,
WEEK 12,TB ,@DET ,"SUNDAY, NOVEMBER 24TH",1:00PM ET,FOX,,
WEEK 12,CHI ,@STL ,"SUNDAY, NOVEMBER 24TH",1:00PM ET,FOX,,
WEEK 12,IND ,@ARI ,"SUNDAY, NOVEMBER 24TH",4:05PM ET,CBS,,
WEEK 12,TEN ,@OAK ,"SUNDAY, NOVEMBER 24TH",4:05PM ET,CBS,,
WEEK 12,DAL ,@NYG ,"SUNDAY, NOVEMBER 24TH",4:25PM ET,FOX,,
WEEK 12,DEN ,@NE ,"SUNDAY, NOVEMBER 24TH",8:30PM ET,NBC,,
WEEK 12,SF ,@WAS ,"MONDAY, NOVEMBER 25TH",8:40PM ET,ESPN,,
WEEK 13,GB ,@DET ,"THURSDAY, NOVEMBER 28TH",12:30PM ET,FOX,,
WEEK 13,OAK ,@DAL ,"THURSDAY, NOVEMBER 28TH",4:30PM ET,CBS,,
WEEK 13,PIT ,@BAL ,"THURSDAY, NOVEMBER 28TH",8:30PM ET,NBC,,
WEEK 13,DEN ,@KAN ,"SUNDAY, DECEMBER 1ST",1:00PM ET,CBS,,
WEEK 13,JAC ,@CLE ,"SUNDAY, DECEMBER 1ST",1:00PM ET,CBS,,
WEEK 13,TEN ,@IND ,"SUNDAY, DECEMBER 1ST",1:00PM ET,CBS,,
WEEK 13,ARI ,@PHI ,"SUNDAY, DECEMBER 1ST",1:00PM ET,FOX,,
WEEK 13,MIA ,@NYJ ,"SUNDAY, DECEMBER 1ST",1:00PM ET,CBS,,
WEEK 13,CHI ,@MIN ,"SUNDAY, DECEMBER 1ST",1:00PM ET,FOX,,
WEEK 13,TB ,@CAR ,"SUNDAY, DECEMBER 1ST",1:00PM ET,FOX,,
WEEK 13,STL ,@SF ,"SUNDAY, DECEMBER 1ST",4:05PM ET,FOX,,
WEEK 13,ATL ,@BUF ,"SUNDAY, DECEMBER 1ST",4:05PM ET,FOX,,
WEEK 13,CIN ,@SD ,"SUNDAY, DECEMBER 1ST",4:25PM ET,CBS,,
WEEK 13,NE ,@HOU ,"SUNDAY, DECEMBER 1ST",4:25PM ET,CBS,,
WEEK 13,NYG ,@WAS ,"SUNDAY, DECEMBER 1ST",8:30PM ET,NBC,,
WEEK 13,NO ,@SEA ,"MONDAY, DECEMBER 2ND",8:40PM ET,ESPN,,
WEEK 14,HOU ,@JAC ,"THURSDAY, DECEMBER 5TH",8:25PM ET,NFL Network,,
WEEK 14,CLE ,@NE ,"SUNDAY, DECEMBER 8TH",1:00PM ET,CBS,,
WEEK 14,IND ,@CIN ,"SUNDAY, DECEMBER 8TH",1:00PM ET,CBS,,
WEEK 14,BUF ,@TB ,"SUNDAY, DECEMBER 8TH",1:00PM ET,CBS,,
WEEK 14,MIN ,@BAL ,"SUNDAY, DECEMBER 8TH",1:00PM ET,FOX,,
WEEK 14,MIA ,@PIT ,"SUNDAY, DECEMBER 8TH",1:00PM ET,CBS,,
WEEK 14,OAK ,@NYJ ,"SUNDAY, DECEMBER 8TH",1:00PM ET,CBS,,
WEEK 14,KAN ,@WAS ,"SUNDAY, DECEMBER 8TH",1:00PM ET,CBS,,
WEEK 14,CAR ,@NO ,"SUNDAY, DECEMBER 8TH",1:00PM ET,FOX,,
WEEK 14,DET ,@PHI ,"SUNDAY, DECEMBER 8TH",1:00PM ET,FOX,,
WEEK 14,TEN ,@DEN ,"SUNDAY, DECEMBER 8TH",4:05PM ET,CBS,,
WEEK 14,STL ,@ARI ,"SUNDAY, DECEMBER 8TH",4:25PM ET,FOX,,
WEEK 14,NYG ,@SD ,"SUNDAY, DECEMBER 8TH",4:25PM ET,FOX,,
WEEK 14,SEA ,@SF ,"SUNDAY, DECEMBER 8TH",4:25PM ET,FOX,,
WEEK 14,ATL ,@GB ,"SUNDAY, DECEMBER 8TH",8:30PM ET,NBC,,
WEEK 14,DAL ,@CHI ,"MONDAY, DECEMBER 9TH",8:40PM ET,ESPN,,
WEEK 15,SD ,@DEN ,"THURSDAY, DECEMBER 12TH",8:25PM ET,NFL Network,,
WEEK 15,CHI ,@CLE ,"SUNDAY, DECEMBER 15TH",1:00PM ET,FOX,,
WEEK 15,HOU ,@IND ,"SUNDAY, DECEMBER 15TH",1:00PM ET,CBS,,
WEEK 15,BUF ,@JAC ,"SUNDAY, DECEMBER 15TH",1:00PM ET,CBS,,
WEEK 15,WAS ,@ATL ,"SUNDAY, DECEMBER 15TH",1:00PM ET,FOX,,
WEEK 15,NE ,@MIA ,"SUNDAY, DECEMBER 15TH",1:00PM ET,CBS,,
WEEK 15,SF ,@TB ,"SUNDAY, DECEMBER 15TH",1:00PM ET,FOX,,
WEEK 15,SEA ,@NYG ,"SUNDAY, DECEMBER 15TH",1:00PM ET,FOX,,
WEEK 15,NO ,@STL ,"SUNDAY, DECEMBER 15TH",1:00PM ET,FOX,,
WEEK 15,PHI ,@MIN ,"SUNDAY, DECEMBER 15TH",1:00PM ET,FOX,,
WEEK 15,ARI ,@TEN ,"SUNDAY, DECEMBER 15TH",1:00PM ET,FOX,,
WEEK 15,NYJ ,@CAR ,"SUNDAY, DECEMBER 15TH",4:05PM ET,CBS,,
WEEK 15,KAN ,@OAK ,"SUNDAY, DECEMBER 15TH",4:05PM ET,CBS,,
WEEK 15,GB ,@DAL ,"SUNDAY, DECEMBER 15TH",4:25PM ET,FOX,,
WEEK 15,CIN ,@PIT ,"SUNDAY, DECEMBER 15TH",8:30PM ET,NBC,,
WEEK 15,BAL ,@DET ,"MONDAY, DECEMBER 16TH",8:40PM ET,ESPN,,
WEEK 16,MIN ,@CIN ,"SUNDAY, DECEMBER 22ND",1:00PM ET,FOX,,
WEEK 16,MIA ,@BUF ,"SUNDAY, DECEMBER 22ND",1:00PM ET,CBS,,
WEEK 16,IND ,@KAN ,"SUNDAY, DECEMBER 22ND",1:00PM ET,CBS,,
WEEK 16,CLE ,@NYJ ,"SUNDAY, DECEMBER 22ND",1:00PM ET,CBS,,
WEEK 16,DEN ,@HOU ,"SUNDAY, DECEMBER 22ND",1:00PM ET,CBS,,
WEEK 16,TEN ,@JAC ,"SUNDAY, DECEMBER 22ND",1:00PM ET,CBS,,
WEEK 16,DAL ,@WAS ,"SUNDAY, DECEMBER 22ND",1:00PM ET,FOX,,
WEEK 16,CHI ,@PHI ,"SUNDAY, DECEMBER 22ND",1:00PM ET,FOX,,
WEEK 16,NO ,@CAR ,"SUNDAY, DECEMBER 22ND",1:00PM ET,FOX,,
WEEK 16,TB ,@STL ,"SUNDAY, DECEMBER 22ND",1:00PM ET,FOX,,
WEEK 16,NYG ,@DET ,"SUNDAY, DECEMBER 22ND",4:05PM ET,FOX,,
WEEK 16,ARI ,@SEA ,"SUNDAY, DECEMBER 22ND",4:05PM ET,FOX,,
WEEK 16,PIT ,@GB ,"SUNDAY, DECEMBER 22ND",4:25PM ET,CBS,,
WEEK 16,OAK ,@SD ,"SUNDAY, DECEMBER 22ND",4:25PM ET,CBS,,
WEEK 16,NE ,@BAL ,"SUNDAY, DECEMBER 22ND",8:30PM ET,NBC,,
WEEK 16,ATL ,@SF ,"MONDAY, DECEMBER 23RD",8:40PM ET,ESPN,,
WEEK 17,CAR ,@ATL ,"SUNDAY, DECEMBER 29TH",1:00PM ET,FOX,,
WEEK 17,NYJ ,@MIA ,"SUNDAY, DECEMBER 29TH",1:00PM ET,CBS,,
WEEK 17,BAL ,@CIN ,"SUNDAY, DECEMBER 29TH",1:00PM ET,CBS,,
WEEK 17,BUF ,@NE ,"SUNDAY, DECEMBER 29TH",1:00PM ET,CBS,,
WEEK 17,CLE ,@PIT ,"SUNDAY, DECEMBER 29TH",1:00PM ET,CBS,,
WEEK 17,JAC ,@IND ,"SUNDAY, DECEMBER 29TH",1:00PM ET,CBS,,
WEEK 17,HOU ,@TEN ,"SUNDAY, DECEMBER 29TH",1:00PM ET,CBS,,
WEEK 17,DET ,@MIN ,"SUNDAY, DECEMBER 29TH",1:00PM ET,FOX,,
WEEK 17,PHI ,@DAL ,"SUNDAY, DECEMBER 29TH",1:00PM ET,FOX,,
WEEK 17,GB ,@CHI ,"SUNDAY, DECEMBER 29TH",1:00PM ET,FOX,,
WEEK 17,WAS ,@NYG ,"SUNDAY, DECEMBER 29TH",1:00PM ET,FOX,,
WEEK 17,TB ,@NO ,"SUNDAY, DECEMBER 29TH",1:00PM ET,FOX,,
WEEK 17,STL ,@SEA ,"SUNDAY, DECEMBER 29TH",4:25PM ET,FOX,,
WEEK 17,DEN ,@OAK ,"SUNDAY, DECEMBER 29TH",4:25PM ET,CBS,,
WEEK 17,KAN ,@SD ,"SUNDAY, DECEMBER 29TH",4:25PM ET,CBS,,
WEEK 17,SF ,@ARI ,"SUNDAY, DECEMBER 29TH",4:25PM ET,FOX,,
